depart_code,year,num_epoints,nb_vp_rechargeables_el
01,2020,,4342.0
01,2021,60.0,25323.0
01,2022,26.0,40184.0
01,2023,392.0,58949.0
01,2024,172.0,18388.0
02,2020,,2880.0
02,2021,7.0,16917.0
02,2022,4.0,25204.0
02,2023,604.0,36684.0
02,2024,177.0,11571.0
03,2020,,1399.0
03,2021,87.0,7876.0
03,2022,1.0,12251.0
03,2023,540.0,17469.0
03,2024,101.0,5403.0
04,2020,,1030.0
04,2021,4.0,5789.0
04,2022,9.0,8624.0
04,2023,367.0,12093.0
04,2024,79.0,3685.0
05,2020,,808.0
05,2021,,4596.0
05,2022,40.0,6861.0
05,2023,457.0,9349.0
05,2024,25.0,2802.0
06,2020,,9510.0
06,2021,1062.0,54626.0
06,2022,35.0,86009.0
06,2023,547.0,126212.0
06,2024,553.0,38959.0
07,2020,,1766.0
07,2021,29.0,9751.0
07,2022,3.0,15228.0
07,2023,566.0,21651.0
07,2024,22.0,6583.0
08,2020,,1138.0
08,2021,114.0,6572.0
08,2022,,10502.0
08,2023,165.0,15351.0
08,2024,59.0,4726.0
09,2020,,708.0
09,2021,9.0,3950.0
09,2022,2.0,5919.0
09,2023,54.0,8161.0
09,2024,126.0,2466.0
10,2020,,1296.0
10,2021,,7673.0
10,2022,13.0,12200.0
10,2023,584.0,18173.0
10,2024,65.0,5724.0
11,2020,,1742.0
11,2021,12.0,10378.0
11,2022,34.0,16590.0
11,2023,261.0,23919.0
11,2024,432.0,7421.0
12,2020,,1244.0
12,2021,21.0,6814.0
12,2022,3.0,10359.0
12,2023,84.0,14710.0
12,2024,294.0,4449.0
13,2020,,15700.0
13,2021,99.0,95123.0
13,2022,138.0,152060.0
13,2023,1370.0,208974.0
13,2024,939.0,63135.0
14,2020,,4019.0
14,2021,70.0,23235.0
14,2022,7.0,37078.0
14,2023,899.0,54709.0
14,2024,307.0,17038.0
15,2020,,526.0
15,2021,8.0,3117.0
15,2022,6.0,4739.0
15,2023,84.0,7076.0
15,2024,33.0,2244.0
16,2020,,1909.0
16,2021,122.0,11102.0
16,2022,,17471.0
16,2023,205.0,24531.0
16,2024,60.0,7383.0
17,2020,,4509.0
17,2021,293.0,25573.0
17,2022,11.0,38811.0
17,2023,477.0,54696.0
17,2024,159.0,16518.0
18,2020,,1266.0
18,2021,40.0,7114.0
18,2022,1.0,10917.0
18,2023,342.0,15342.0
18,2024,46.0,4687.0
19,2020,,1128.0
19,2021,44.0,6663.0
19,2022,3.0,10550.0
19,2023,257.0,14910.0
19,2024,83.0,4510.0
20,2022,4.0,
20,2023,148.0,
20,2024,222.0,
21,2020,,2850.0
21,2021,56.0,16657.0
21,2022,62.0,25880.0
21,2023,561.0,36989.0
21,2024,377.0,11480.0
22,2020,,2882.0
22,2021,11.0,16214.0
22,2022,6.0,25313.0
22,2023,383.0,36756.0
22,2024,505.0,11287.0
23,2020,,372.0
23,2021,2.0,2057.0
23,2022,,3196.0
23,2023,40.0,4437.0
23,2024,7.0,1348.0
24,2020,,2057.0
24,2021,308.0,12137.0
24,2022,6.0,19213.0
24,2023,152.0,27517.0
24,2024,67.0,8309.0
25,2020,,3473.0
25,2021,21.0,19413.0
25,2022,41.0,28632.0
25,2023,380.0,41052.0
25,2024,135.0,12584.0
26,2020,,3551.0
26,2021,4.0,20217.0
26,2022,7.0,31076.0
26,2023,950.0,44638.0
26,2024,196.0,13718.0
27,2020,,3155.0
27,2021,302.0,18113.0
27,2022,15.0,29972.0
27,2023,335.0,43563.0
27,2024,237.0,13524.0
28,2020,,2398.0
28,2021,17.0,13514.0
28,2022,16.0,20497.0
28,2023,505.0,28918.0
28,2024,70.0,8779.0
29,2020,,4725.0
29,2021,53.0,26879.0
29,2022,3.0,41885.0
29,2023,466.0,61801.0
29,2024,518.0,19167.0
2A,2020,,964.0
2A,2021,,6133.0
2A,2022,,10142.0
2A,2023,,15558.0
2A,2024,,4827.0
2B,2020,,1494.0
2B,2021,,12210.0
2B,2022,,21589.0
2B,2023,,37192.0
2B,2024,,11369.0
